Study,Sample,Mouse,Vendor (full),Vendor name,Location [Geographical region (city/state)],Country ,Centre Name,Institute,Country,Location [Geographical region (city/state)],Continent,Compartment,Alternative sample name,Biosample number,Diet,Dietary Supplement,Age,Sex,Barrier,Publication,Genetic background,Strain,Genotype,Notes,Library Layout,Library Selection,Treatment,Exclude,Luminal contents?,Ex-GF,
PRJEB30924,ERR3598105,Hybrid,Wild origin,Wild origin,Munich,Germany,MPIEVB,Max Planck Institute,Germany,Plön,Europe,Caecum,SAMEA6087798,SAMEA6087798,Chow,None,NA,Male,,,F11 (M. m. musculus × M. m. domesticus),F11 (M. m. musculus × M. m. domesticus),Hybrid,F11 (M. m. musculus × M. m. domesticus),PAIRED,RANDOM,Control,,Luminal,,
PRJEB30924,ERR3598106,Hybrid,Wild origin,Wild origin,Munich,Germany,MPIEVB,Max Planck Institute,Germany,Plön,Europe,Caecum,SAMEA6087798,SAMEA6087798,Chow,None,NA,Male,,,F11 (M. m. musculus × M. m. domesticus),F11 (M. m. musculus × M. m. domesticus),Hybrid,F11 (M. m. musculus × M. m. domesticus),PAIRED,RANDOM,Control,,Luminal,,
PRJEB30924,ERR3598107,Hybrid,Wild origin,Wild origin,Munich,Germany,MPIEVB,Max Planck Institute,Germany,Plön,Europe,Caecum,SAMEA6087798,SAMEA6087798,Chow,None,NA,Male,,,F11 (M. m. musculus × M. m. domesticus),F11 (M. m. musculus × M. m. domesticus),Hybrid,F11 (M. m. musculus × M. m. domesticus),PAIRED,RANDOM,Control,,Luminal,,
PRJEB30924,ERR3598108,Hybrid,Wild origin,Wild origin,Munich,Germany,MPIEVB,Max Planck Institute,Germany,Plön,Europe,Caecum,SAMEA6087799,SAMEA6087799,Chow,None,NA,Male,,,F11 (M. m. musculus × M. m. domesticus),F11 (M. m. musculus × M. m. domesticus),Hybrid,F11 (M. m. musculus × M. m. domesticus),PAIRED,RANDOM,Control,,Luminal,,
PRJEB30924,ERR3598109,Hybrid,Wild origin,Wild origin,Munich,Germany,MPIEVB,Max Planck Institute,Germany,Plön,Europe,Caecum,SAMEA6087799,SAMEA6087799,Chow,None,NA,Male,,,F11 (M. m. musculus × M. m. domesticus),F11 (M. m. musculus × M. m. domesticus),Hybrid,F11 (M. m. musculus × M. m. domesticus),PAIRED,RANDOM,Control,,Luminal,,
PRJEB30924,ERR3598110,Hybrid,Wild origin,Wild origin,Munich,Germany,MPIEVB,Max Planck Institute,Germany,Plön,Europe,Caecum,SAMEA6087799,SAMEA6087799,Chow,None,NA,Male,,,F11 (M. m. musculus × M. m. domesticus),F11 (M. m. musculus × M. m. domesticus),Hybrid,F11 (M. m. musculus × M. m. domesticus),PAIRED,RANDOM,Control,,Luminal,,
PRJEB30924,ERR3598111,Hybrid,Wild origin,Wild origin,Munich,Germany,MPIEVB,Max Planck Institute,Germany,Plön,Europe,Caecum,SAMEA6087799,SAMEA6087799,Chow,None,NA,Male,,,F11 (M. m. musculus × M. m. domesticus),F11 (M. m. musculus × M. m. domesticus),Hybrid,F11 (M. m. musculus × M. m. domesticus),PAIRED,RANDOM,Control,,Luminal,,
PRJEB30924,ERR3610232,Hybrid,Wild origin,Wild origin,Munich,Germany,MPIEVB,Max Planck Institute,Germany,Plön,Europe,Caecum,SAMEA6087795,SAMEA6087795,Chow,None,NA,Male,,,F11 (M. m. musculus × M. m. domesticus),F11 (M. m. musculus × M. m. domesticus),Hybrid,F11 (M. m. musculus × M. m. domesticus),PAIRED,RANDOM,Control,,Luminal,,
PRJEB30924,ERR3610233,Hybrid,Wild origin,Wild origin,Munich,Germany,MPIEVB,Max Planck Institute,Germany,Plön,Europe,Caecum,SAMEA6087795,SAMEA6087795,Chow,None,NA,Male,,,F11 (M. m. musculus × M. m. domesticus),F11 (M. m. musculus × M. m. domesticus),Hybrid,F11 (M. m. musculus × M. m. domesticus),PAIRED,RANDOM,Control,,Luminal,,
PRJEB30924,ERR3610234,Hybrid,Wild origin,Wild origin,Munich,Germany,MPIEVB,Max Planck Institute,Germany,Plön,Europe,Caecum,SAMEA6087795,SAMEA6087795,Chow,None,NA,Male,,,F11 (M. m. musculus × M. m. domesticus),F11 (M. m. musculus × M. m. domesticus),Hybrid,F11 (M. m. musculus × M. m. domesticus),PAIRED,RANDOM,Control,,Luminal,,
PRJEB30924,ERR3610235,Hybrid,Wild origin,Wild origin,Munich,Germany,MPIEVB,Max Planck Institute,Germany,Plön,Europe,Caecum,SAMEA6087795,SAMEA6087795,Chow,None,NA,Male,,,F11 (M. m. musculus × M. m. domesticus),F11 (M. m. musculus × M. m. domesticus),Hybrid,F11 (M. m. musculus × M. m. domesticus),PAIRED,RANDOM,Control,,Luminal,,
PRJEB30924,ERR3610236,Hybrid,Wild origin,Wild origin,Munich,Germany,MPIEVB,Max Planck Institute,Germany,Plön,Europe,Caecum,SAMEA6087796,SAMEA6087796,Chow,None,NA,Male,,,F11 (M. m. musculus × M. m. domesticus),F11 (M. m. musculus × M. m. domesticus),Hybrid,F11 (M. m. musculus × M. m. domesticus),PAIRED,RANDOM,Control,,Luminal,,
PRJEB30924,ERR3610237,Hybrid,Wild origin,Wild origin,Munich,Germany,MPIEVB,Max Planck Institute,Germany,Plön,Europe,Caecum,SAMEA6087796,SAMEA6087796,Chow,None,NA,Male,,,F11 (M. m. musculus × M. m. domesticus),F11 (M. m. musculus × M. m. domesticus),Hybrid,F11 (M. m. musculus × M. m. domesticus),PAIRED,RANDOM,Control,,Luminal,,
PRJEB30924,ERR3610238,Hybrid,Wild origin,Wild origin,Munich,Germany,MPIEVB,Max Planck Institute,Germany,Plön,Europe,Caecum,SAMEA6087796,SAMEA6087796,Chow,None,NA,Male,,,F11 (M. m. musculus × M. m. domesticus),F11 (M. m. musculus × M. m. domesticus),Hybrid,F11 (M. m. musculus × M. m. domesticus),PAIRED,RANDOM,Control,,Luminal,,
PRJEB30924,ERR3610239,Hybrid,Wild origin,Wild origin,Munich,Germany,MPIEVB,Max Planck Institute,Germany,Plön,Europe,Caecum,SAMEA6087796,SAMEA6087796,Chow,None,NA,Male,,,F11 (M. m. musculus × M. m. domesticus),F11 (M. m. musculus × M. m. domesticus),Hybrid,F11 (M. m. musculus × M. m. domesticus),PAIRED,RANDOM,Control,,Luminal,,
PRJEB30924,ERR3610240,Hybrid,Wild origin,Wild origin,Munich,Germany,MPIEVB,Max Planck Institute,Germany,Plön,Europe,Caecum,SAMEA6087797,SAMEA6087797,Chow,None,NA,Male,,,F11 (M. m. musculus × M. m. domesticus),F11 (M. m. musculus × M. m. domesticus),Hybrid,F11 (M. m. musculus × M. m. domesticus),PAIRED,RANDOM,Control,,Luminal,,
PRJEB30924,ERR3610241,Hybrid,Wild origin,Wild origin,Munich,Germany,MPIEVB,Max Planck Institute,Germany,Plön,Europe,Caecum,SAMEA6087797,SAMEA6087797,Chow,None,NA,Male,,,F11 (M. m. musculus × M. m. domesticus),F11 (M. m. musculus × M. m. domesticus),Hybrid,F11 (M. m. musculus × M. m. domesticus),PAIRED,RANDOM,Control,,Luminal,,
PRJEB30924,ERR3610242,Hybrid,Wild origin,Wild origin,Munich,Germany,MPIEVB,Max Planck Institute,Germany,Plön,Europe,Caecum,SAMEA6087797,SAMEA6087797,Chow,None,NA,Male,,,F11 (M. m. musculus × M. m. domesticus),F11 (M. m. musculus × M. m. domesticus),Hybrid,F11 (M. m. musculus × M. m. domesticus),PAIRED,RANDOM,Control,,Luminal,,
PRJEB30924,ERR3610243,Hybrid,Wild origin,Wild origin,Munich,Germany,MPIEVB,Max Planck Institute,Germany,Plön,Europe,Caecum,SAMEA6087797,SAMEA6087797,Chow,None,NA,Male,,,F11 (M. m. musculus × M. m. domesticus),F11 (M. m. musculus × M. m. domesticus),Hybrid,F11 (M. m. musculus × M. m. domesticus),PAIRED,RANDOM,Control,,Luminal,,
PRJEB30924,ERR3610244,Hybrid,Wild origin,Wild origin,Munich,Germany,MPIEVB,Max Planck Institute,Germany,Plön,Europe,Caecum,SAMEA6087798,SAMEA6087798,Chow,None,NA,Male,,,F11 (M. m. musculus × M. m. domesticus),F11 (M. m. musculus × M. m. domesticus),Hybrid,F11 (M. m. musculus × M. m. domesticus),PAIRED,RANDOM,Control,,Luminal,,
PRJEB30924,ERR3610245,Hybrid,Wild origin,Wild origin,Munich,Germany,MPIEVB,Max Planck Institute,Germany,Plön,Europe,Caecum,SAMEA6087798,SAMEA6087798,Chow,None,NA,Male,,,F11 (M. m. musculus × M. m. domesticus),F11 (M. m. musculus × M. m. domesticus),Hybrid,F11 (M. m. musculus × M. m. domesticus),PAIRED,RANDOM,Control,,Luminal,,
PRJEB30924,ERR3610246,Hybrid,Wild origin,Wild origin,Munich,Germany,MPIEVB,Max Planck Institute,Germany,Plön,Europe,Caecum,SAMEA6087798,SAMEA6087798,Chow,None,NA,Male,,,F11 (M. m. musculus × M. m. domesticus),F11 (M. m. musculus × M. m. domesticus),Hybrid,F11 (M. m. musculus × M. m. domesticus),PAIRED,RANDOM,Control,,Luminal,,
PRJEB30924,ERR3610247,Hybrid,Wild origin,Wild origin,Munich,Germany,MPIEVB,Max Planck Institute,Germany,Plön,Europe,Caecum,SAMEA6087798,SAMEA6087798,Chow,None,NA,Male,,,F11 (M. m. musculus × M. m. domesticus),F11 (M. m. musculus × M. m. domesticus),Hybrid,F11 (M. m. musculus × M. m. domesticus),PAIRED,RANDOM,Control,,Luminal,,
PRJEB30924,ERR3610248,Hybrid,Wild origin,Wild origin,Munich,Germany,MPIEVB,Max Planck Institute,Germany,Plön,Europe,Caecum,SAMEA6087799,SAMEA6087799,Chow,None,NA,Male,,,F11 (M. m. musculus × M. m. domesticus),F11 (M. m. musculus × M. m. domesticus),Hybrid,F11 (M. m. musculus × M. m. domesticus),PAIRED,RANDOM,Control,,Luminal,,
PRJEB30924,ERR3610249,Hybrid,Wild origin,Wild origin,Munich,Germany,MPIEVB,Max Planck Institute,Germany,Plön,Europe,Caecum,SAMEA6087799,SAMEA6087799,Chow,None,NA,Male,,,F11 (M. m. musculus × M. m. domesticus),F11 (M. m. musculus × M. m. domesticus),Hybrid,F11 (M. m. musculus × M. m. domesticus),PAIRED,RANDOM,Control,,Luminal,,
PRJEB30924,ERR3610250,Hybrid,Wild origin,Wild origin,Munich,Germany,MPIEVB,Max Planck Institute,Germany,Plön,Europe,Caecum,SAMEA6087799,SAMEA6087799,Chow,None,NA,Male,,,F11 (M. m. musculus × M. m. domesticus),F11 (M. m. musculus × M. m. domesticus),Hybrid,F11 (M. m. musculus × M. m. domesticus),PAIRED,RANDOM,Control,,Luminal,,
PRJEB30924,ERR3610251,Hybrid,Wild origin,Wild origin,Munich,Germany,MPIEVB,Max Planck Institute,Germany,Plön,Europe,Caecum,SAMEA6087799,SAMEA6087799,Chow,None,NA,Male,,,F11 (M. m. musculus × M. m. domesticus),F11 (M. m. musculus × M. m. domesticus),Hybrid,F11 (M. m. musculus × M. m. domesticus),PAIRED,RANDOM,Control,,Luminal,,
PRJEB31298,ERR3199521,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382855,SAMEA5382855,Chow ,None,8 weeks,Female,,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02007-1,C57BL/6,C57BL/6,Wildtype,NC415,PAIRED,RANDOM,Control,,Faecal,,
PRJEB31298,ERR3199522,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382929,SAMEA5382929,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,NC909,PAIRED,RANDOM,Control,,Faecal,,
PRJEB31298,ERR3199523,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382308,SAMEA5382308,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,HB1002,PAIRED,RANDOM,Attenuated influenza,,Faecal,,
PRJEB31298,ERR3199524,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382081,SAMEA5382081,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,GX.DG311,PAIRED,RANDOM,Virulent influenza,,Faecal,,
PRJEB31298,ERR3199525,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382097,SAMEA5382097,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,GX.DG502,PAIRED,RANDOM,Virulent influenza,,Faecal,,
PRJEB31298,ERR3199526,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382137,SAMEA5382137,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,GX.DG900,PAIRED,RANDOM,Virulent influenza,,Faecal,,
PRJEB31298,ERR3199527,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382000,SAMEA5382000,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,GX.DG100,PAIRED,RANDOM,Virulent influenza,,Faecal,,
PRJEB31298,ERR3199528,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382906,SAMEA5382906,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,NC802,PAIRED,RANDOM,Control,,Faecal,,
PRJEB31298,ERR3199529,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382834,SAMEA5382834,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,NC310,PAIRED,RANDOM,Control,,Faecal,,
PRJEB31298,ERR3199530,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382395,SAMEA5382395,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,HB509,PAIRED,RANDOM,Attenuated influenza,,Faecal,,
PRJEB31298,ERR3199531,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382295,SAMEA5382295,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,GX.SG905,PAIRED,RANDOM,Virulent influenza,,Faecal,,
PRJEB31298,ERR3199532,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382785,SAMEA5382785,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,NC1009,PAIRED,RANDOM,Control,,Faecal,,
PRJEB31298,ERR3199533,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382050,SAMEA5382050,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,GX.DG1405,PAIRED,RANDOM,Virulent influenza,,Faecal,,
PRJEB31298,ERR3199534,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382020,SAMEA5382020,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,GX.DG110,PAIRED,RANDOM,Virulent influenza,,Faecal,,
PRJEB31298,ERR3199535,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382115,SAMEA5382115,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,GX.DG609,PAIRED,RANDOM,Virulent influenza,,Faecal,,
PRJEB31298,ERR3199536,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382359,SAMEA5382359,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,HB305,PAIRED,RANDOM,Attenuated influenza,,Faecal,,
PRJEB31298,ERR3199537,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382044,SAMEA5382044,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,GX.DG1311,PAIRED,RANDOM,Virulent influenza,,Faecal,,
PRJEB31298,ERR3199538,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382920,SAMEA5382920,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,NC900,PAIRED,RANDOM,Control,,Faecal,,
PRJEB31298,ERR3199539,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382794,SAMEA5382794,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,NC102,PAIRED,RANDOM,Control,,Faecal,,
PRJEB31298,ERR3199540,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382087,SAMEA5382087,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,GX.DG402,PAIRED,RANDOM,Virulent influenza,,Faecal,,
PRJEB31298,ERR3199541,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382134,SAMEA5382134,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,GX.DG808,PAIRED,RANDOM,Virulent influenza,,Faecal,,
PRJEB31298,ERR3199542,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382348,SAMEA5382348,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,HB210,PAIRED,RANDOM,Attenuated influenza,,Faecal,,
PRJEB31298,ERR3199543,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382858,SAMEA5382858,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,NC502,PAIRED,RANDOM,Control,,Faecal,,
PRJEB31298,ERR3199544,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382301,SAMEA5382301,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,GX.SG911,PAIRED,RANDOM,Virulent influenza,,Faecal,,
PRJEB31298,ERR3199545,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382378,SAMEA5382378,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,HB408,PAIRED,RANDOM,Attenuated influenza,,Faecal,,
PRJEB31298,ERR3199546,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382047,SAMEA5382047,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,GX.DG1402,PAIRED,RANDOM,Virulent influenza,,Faecal,,
PRJEB31298,ERR3199547,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382128,SAMEA5382128,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,GX.DG802,PAIRED,RANDOM,Virulent influenza,,Faecal,,
PRJEB31298,ERR3199548,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382925,SAMEA5382925,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,NC905,PAIRED,RANDOM,Control,,Faecal,,
PRJEB31298,ERR3199549,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382332,SAMEA5382332,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,HB110,PAIRED,RANDOM,Attenuated influenza,,Faecal,,
PRJEB31298,ERR3199550,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382135,SAMEA5382135,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,GX.DG809,PAIRED,RANDOM,Virulent influenza,,Faecal,,
PRJEB31298,ERR3199551,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382300,SAMEA5382300,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,GX.SG910,PAIRED,RANDOM,Virulent influenza,,Faecal,,
PRJEB31298,ERR3199552,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382428,SAMEA5382428,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,HB709,PAIRED,RANDOM,Attenuated influenza,,Faecal,,
PRJEB31298,ERR3199553,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382429,SAMEA5382429,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,HB710,PAIRED,RANDOM,Attenuated influenza,,Faecal,,
PRJEB31298,ERR3199554,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382199,SAMEA5382199,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,GX.SG305,PAIRED,RANDOM,Virulent influenza,,Faecal,,
PRJEB31298,ERR3199555,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382094,SAMEA5382094,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,GX.DG409,PAIRED,RANDOM,Virulent influenza,,Faecal,,
PRJEB31298,ERR3199556,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382899,SAMEA5382899,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,NC711,PAIRED,RANDOM,Control,,Faecal,,
PRJEB31298,ERR3199557,C57BL/6,"College of Veterinary Medicine, Huazhong Agricultural University, Wuhan",Huazhong Agricultural University,Wuhan,China,NATIONAL KEY LABORATORY OF AGRICULTURAL MICROBIOLO,Huazhong Agricultural University,China ,Wuhan,Asia ,Faeces,SAMEA5382058,SAMEA5382058,Chow ,None,8 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,GX.DG202,PAIRED,RANDOM,Virulent influenza,,Faecal,,
