GUT_GENOME000159	s__UBA1191 sp900066305	species__UBA1191 sp900066305	species	UBA1191 sp900066305	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UBA1191;s__UBA1191 sp900066305
GUT_GENOME097140	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME212704	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME158944	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME217705	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME179121	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME123496	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME158302	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME158820	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME276485	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME193763	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME190496	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME129904	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME280649	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME101970	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME279073	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME100302	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME280600	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME190347	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME217087	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME180826	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME122086	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME217566	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME009174	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME181044	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME175807	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME195458	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME277144	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME009849	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME149022	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME286475	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME021250	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME026582	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME195251	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME008594	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME249324	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME155312	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME173290	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME158273	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME157933	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME023846	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME159272	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME167589	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME246353	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME125148	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME256457	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME097350	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME124777	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME078528	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME216767	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME253249	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME125234	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME098628	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME153506	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME036278	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME193004	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME277643	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME125519	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME219783	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME017255	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME009949	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME124532	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME175952	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME035972	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME123466	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME096947	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME281463	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME049473	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME009048	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME219684	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME189080	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME033982	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME155379	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME123363	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME008274	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME010218	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME156878	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME279514	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME154444	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME033166	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME097261	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME217749	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME007961	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME244422	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME102846	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME185526	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME121187	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME188587	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME259087	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME010804	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME034627	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME275158	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME154937	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME245098	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME151449	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME190577	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME190154	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME101255	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME201394	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME122719	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME274361	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME159267	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME186792	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME216815	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME043563	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME249274	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
GUT_GENOME044144	s__Oscillibacter sp001916835	species__Oscillibacter sp001916835	species	Oscillibacter sp001916835	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835
